Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.152,64.537,64.752,65.132,65.294,65.502,66.063,66.439,66.757,67.168,67.583,67.975,68.577,69.092,69.503,69.762,70.035,70.264,70.494,70.778,71.066,71.722,71.959,72.105,72.251,72.388,72.462,72.789,73.047,73.023,73.076,73.1,73.179,73.225,73.272,73.349,73.448,73.452,73.491,73.561,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.08555185,44.38669693,44.75218187,44.9131593,45.47904304,45.49833779,45.24910463,45.924905,46.22309657,46.43230309,46.71848452,47.19294226,46.89738925,47.69231743,47.59806375,47.75988691,48.34958805,48.63590519,48.7636046,49.26133574,49.63653766,50.05707329,50.29684914,48.70333059,48.65266456,49.01163072,49.63971901,50.07588754,49.35972653,50.68409979,50.60772753,50.39045961,49.96211365,50.27362797,50.88258182,51.00192529,50.81068897,50.97423136,50.32591274,51.23785191,51.96448132,52.18964821,52.540794,53.02203459,53.54545711,54.21965081,55.15054611,55.93380171,56.6804189,57.62085154,58.41114975,59.29327139,60.05078025,60.70986314,61.33791145,61.85645243,62.44404489,62.9223846,63.36585795,63.75567361,63.31385599,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.535,33.068,33.547,34.016,34.494,34.953,35.453,35.924,36.418,36.91,37.418,37.923,38.444,39.003,39.55,40.1,40.645,41.228,40.271,39.086,39.618,40.164,37.766,38.187,33.329,33.55,39.396,39.844,43.958,45.158,45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.84515162,38.16494978,38.73510186,39.06371528,39.33536025,39.6180377,39.83782699,39.47150006,40.08567892,40.35042038,41.03476138,41.55672111,42.2497926,42.85504711,43.49768365,44.20125385,45.00316314,45.71988949,46.26953509,46.67373587,47.01523877,47.29718997,47.52937849,47.78526223,47.93192038,48.02167573,48.06676373,48.23785223,48.51291312,48.68984741,48.65000339,48.66246101,48.73726634,48.83203884,48.68189229,48.78377285,48.90627733,49.07918377,49.33294924,49.75011677,50.22195388,50.56514413,50.92784833,51.40335648,51.81913179,52.34455123,52.83212568,53.25171157,53.64116468,54.15942084,54.55016917,55.01313789,55.34056099,55.67340551,55.92222899,56.19587235,56.58167849,56.88844583,57.18913927,57.55579555,57.22637273,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.211,37.267,37.539,37.824,38.131,38.495,38.757,39.092,39.484,39.829,40.19,40.554,40.905,41.27,41.652,41.191,41.163,41.437,41.83,42.175,42.449,42.772,43.051,42.092,42.353,42.648,42.843,40.917,41.545,41.765,41.893,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.439,55.634,56.671,57.844,58.983,60.019,60.998,61.972,62.946,63.923,64.824,65.618,66.422,67.14,67.769,68.328,68.704,69.121,69.309,69.584,70.478,70.73,71.023,71.296,71.502,71.656,71.95,72.352,72.641,72.88,73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.97289865,45.6764015,46.12257585,46.97247171,47.89575846,48.23210741,48.45707278,48.91291119,49.44511952,49.82223582,50.35134318,51.29642393,51.86445799,52.53968339,53.19444453,53.70985802,54.04753359,55.36147034,56.11217349,56.82629235,57.30237239,57.69292947,58.05479792,58.78736843,59.47897588,60.21573679,61.22126233,61.16971173,60.6090253,62.48114366,62.92796703,63.17961436,63.47441021,64.45832147,65.49672687,65.34978333,65.71840452,65.9944194,65.80770679,66.87672732,67.29733126,67.6316806,67.93557016,67.85900283,67.89591204,68.16268218,68.56724961,68.92868037,69.28642729,69.8126377,70.04125357,70.26151981,70.1804606,70.19651371,70.49262887,70.75822223,70.94306228,71.429596,71.63301665,71.84462603,70.92335959,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.811,49.695,50.686,51.584,52.848,53.985,55.185,56.339,57.54,58.76,60.021,61.211,62.304,63.351,64.338,65.08,65.82,66.514,67.209,67.846,68.53,69.085,69.66,69.949,70.485,70.747,70.964,71.491,71.606,71.757,71.9,72.241,72.306,72.521,72.598,72.695,72.767,72.937,73.066,73.67,74.38,74.636,74.901,76.222,76.453,76.683,76.909,77.129,77.488,78.003,78.334,78.517,78.716,78.853,79.044,79.223,79.335,79.504,79.627,79.726,78.946,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.978,64.36,64.244,64.449,64.363,64.593,64.891,64.992,64.89,64.859,65.589,65.541,65.923,66.323,66.563,67.081,67.228,67.861,68.197,68.491,68.564,68.976,68.937,69.267,69.195,69.651,70.119,70.564,71.052,71.425,71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.431,61.803,62.125,62.223,62.418,62.754,62.945,63.213,63.334,63.656,63.873,64.208,64.535,64.611,64.825,64.962,65.161,65.364,65.701,66.041,66.177,66.579,66.89,67.195,67.507,67.93,68.18,68.095,53.9,68.703,68.821,68.643,68.627,68.841,69.073,69.311,69.783,69.91,70.514,70.257,70.624,70.932,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.55,62.363,63.192,64.101,65.058,66.026,66.956,67.859,68.671,69.535,70.058,70.683,71.016,71.349,71.747,71.977,72.359,72.546,72.871,73.035,73.183,73.338,73.458,73.471,73.524,73.566,73.556,73.554,73.53,73.416,73.492,73.435,73.417,73.482,73.591,73.636,73.829,73.96,74.041,74.347,74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.837,56.192,56.516,56.898,57.196,57.619,57.672,57.973,58.367,58.599,59.018,59.353,59.803,60.045,60.228,60.337,60.521,60.627,60.713,60.867,61.081,61.291,61.447,61.96,61.956,62.093,62.194,62.569,62.729,62.582,62.352,62.052,61.296,61.286,61.594,62.305,62.622,62.973,63.561,64.189,64.891,65.51,66.239,66.756,67.346,67.562,68.165,68.603,68.811,69.356,69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.024,43.252,43.441,43.718,43.974,42.005,43.531,43.341,43.378,42.874,43.041,42.965,25.613,37.275,43.012,42.982,43.144,43.513,43.764,44.59,45.406,46.393,47.29,48.051,48.491,48.541,48.164,47.516,43.04,45.62,44.86,44.227,43.895,37.105,44.08,44.059,44.373,45.387,46.552,47.528,47.514,48.431,49.891,50.857,52.01,53.023,53.869,54.727,55.71,56.388,57.081,57.769,58.493,59.235,59.868,60.217,60.793,61.553,61.688,62.351,61.566,
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.70195122,70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.79512195,
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.181,38.542,38.928,39.334,39.758,40.184,40.648,41.055,41.522,41.849,42.189,42.581,43.158,43.596,44.085,44.681,45.488,46.176,46.961,47.362,47.877,48.31,48.813,49.333,49.747,50.374,51.075,51.659,52.294,52.684,53.292,53.624,54.089,54.537,54.91,55.295,55.558,55.978,56.218,56.526,56.578,56.66,56.606,56.738,56.826,57.125,57.456,57.675,57.869,57.956,58.363,58.462,58.716,58.965,59.125,59.377,59.539,59.856,60.14,60.454,60.088,
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,35.872,36.24,36.665,36.974,37.251,37.691,37.916,38.294,38.531,38.857,39.239,39.559,40.053,40.548,41.354,42.307,43.245,44.147,45.073,45.903,46.539,46.872,47.602,48.091,48.638,48.949,49.013,49.058,49.132,49.174,49.44,49.45,49.437,49.209,49.307,49.446,49.614,49.4,49.991,50.325,50.847,51.071,51.272,51.793,52.416,53.092,53.742,54.375,55.342,55.959,56.477,57.125,57.619,57.823,58.359,58.845,59.326,59.536,60.047,60.039,59.731,
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.74,45.662,46.701,46.655,47.741,46.858,48.577,48.865,49.09,49.172,42.587,25.996,49.591,49.828,49.16,50.292,50.647,51.197,51.254,51.464,51.85,52.169,52.54,53.011,53.54,53.897,54.415,54.926,55.027,55.089,55.989,54.154,57.635,57.927,58.617,59.467,59.492,61.427,63.917,66.228,65.779,66.135,66.612,66.824,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512,73.60731707,
